entry_date,exit_date,entry_price,exit_price,shares,pnl
2022-11-14,2022-11-25,20.11,20.16,79241.06,3680.35
2022-11-28,2022-12-01,20.04,21.08,79718.64,83597.75
2022-12-05,2022-12-08,21.21,21.68,79260.28,37913.12
2022-12-09,2022-12-14,21.73,22.15,79089.26,33380.8
2022-12-15,2022-12-22,21.66,22.02,80904.64,29593.75
2022-12-23,2023-01-04,22.2,23.06,80255.22,69250.54
2023-01-10,2023-01-11,23.89,24.47,77482.36,45056.21
2023-01-12,2023-01-16,24.48,24.45,77452.67,-2179.12
2023-01-17,2023-01-26,24.37,24.57,77720.99,16037.22
2023-01-27,2023-02-02,24.45,25.11,78108.56,51281.56
2023-02-03,2023-03-16,23.64,22.76,82941.95,-72997.91
2023-03-17,2023-03-20,22.97,23.61,82192.27,52750.24
